"treeID","stemID","tag","StemTag","sp","quadrat","gx","gy","dbh","hom","ExactDate","DFstatus","codes","date","status","agb","plot","census","plotID"
454157,968697,"014032","","oenoma","1536",317.8,737.4,NA,NA,NA,NA,NA,17595,"V",0,"gigante2",5,157
454164,968698,"014039","","oenoma","1537",305.3,754.3,108,1.3,"2008-03-05","alive",NA,17596,"A",0.0584088732520625,"gigante2",5,157
454167,968699,"014042","","oenoma","1537",309.6,744.6,NA,NA,NA,NA,NA,17595.9310344828,"V",0,"gigante2",5,157
454169,968700,"014044","3","sloazu","1537",313.5,755.8,NA,NA,NA,NA,NA,17595.9310344828,"P",0,"gigante2",5,157
454180,968701,"014055","","oenoma","1538",319.4,776,NA,NA,NA,NA,NA,17596,"V",0,"gigante2",5,157
454184,968702,"014059","","oenoma","1539",302.5,782.8,NA,NA,NA,NA,NA,17596,"V",0,"gigante2",5,157
454190,968703,"014065","","oenoma","1539",316.8,790.9,97,1.3,"2008-03-05","alive",NA,17596,"A",0.0439164640033945,"gigante2",5,157
454201,968704,"014076","","sloazu","1835",370.9,707.5,18,1.3,"2008-03-18","alive",NA,17609,"A",0.000526728243853733,"gigante2",5,157
454208,968705,"014083","","oenoma","1836",378.6,727.8,NA,NA,NA,NA,NA,17609,"V",0,"gigante2",5,157
454214,968706,"014089","","oenoma","1837",363.1,743.7,NA,NA,NA,NA,NA,17609.0333333333,"V",0,"gigante2",5,157
454216,968707,"014091","","oenoma","1837",365.9,750.5,NA,NA,NA,NA,NA,17609.0333333333,"V",0,"gigante2",5,157
454220,968708,"014096","","oenoma","1838",364.8,761,NA,NA,NA,NA,NA,17609,"V",0,"gigante2",5,157
454228,968709,"014104","","oenoma","1635",330.6,709.2,NA,NA,NA,NA,NA,17609,"V",0,"gigante2",5,157
454337,968710,"014216","2","oenoma","1637",329.6,759.6,NA,NA,NA,NA,NA,17610,"P",0,"gigante2",5,157
454389,968711,"014268","","sloazu","1638",322.4,761,29,1.3,"2008-03-20","alive",NA,17611,"A",0.00167915896987428,"gigante2",5,157
